index,id-number,type,description,source
SH.STA.SUIC.P5,1141,,"Suicide mortality rate (per 100,000 population)",World Data Bank
SH.STA.TRAF.P5,1142,,"Mortality caused by road traffic injury (per 100,000 population)",World Data Bank
SH.XPD.CHEX.GD.ZS,1143,,Current health expenditure (% of GDP),World Data Bank
SH.XPD.CHEX.PC.CD,1144,,Current health expenditure per capita (current US$),World Data Bank
SH.XPD.CHEX.PP.CD,1145,,"Current health expenditure per capita, PPP (current international $)",World Data Bank
SH.XPD.EHEX.CH.ZS,1146,,External health expenditure (% of current health expenditure),World Data Bank
SH.XPD.EHEX.PC.CD,1147,,External health expenditure per capita (current US$),World Data Bank
SH.XPD.EHEX.PP.CD,1148,,"External health expenditure per capita, PPP (current international $)",World Data Bank
SH.XPD.GHED.CH.ZS,1149,,Domestic general government health expenditure (% of current health expenditure),World Data Bank
SH.XPD.GHED.GD.ZS,1150,,Domestic general government health expenditure (% of GDP),World Data Bank
SH.XPD.GHED.GE.ZS,1151,,Domestic general government health expenditure (% of general government expenditure),World Data Bank
SH.XPD.GHED.PC.CD,1152,,Domestic general government health expenditure per capita (current US$),World Data Bank
SH.XPD.GHED.PP.CD,1153,,"Domestic general government health expenditure per capita, PPP (current international $)",World Data Bank
SH.XPD.OOPC.CH.ZS,1154,,Out-of-pocket expenditure (% of current health expenditure),World Data Bank
SH.XPD.OOPC.PC.CD,1155,,Out-of-pocket expenditure per capita (current US$),World Data Bank
SH.XPD.OOPC.PP.CD,1156,,"Out-of-pocket expenditure per capita, PPP (current international $)",World Data Bank
SH.XPD.PVTD.CH.ZS,1157,,Domestic private health expenditure (% of current health expenditure),World Data Bank
SH.XPD.PVTD.PC.CD,1158,,Domestic private health expenditure per capita (current US$),World Data Bank
SH.XPD.PVTD.PP.CD,1159,,"Domestic private health expenditure per capita, PPP (current international $)",World Data Bank
SL.AGR.EMPL.FE.ZS,1160,,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",World Data Bank
SL.AGR.EMPL.MA.ZS,1161,,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",World Data Bank
SL.AGR.EMPL.ZS,1162,,Employment in agriculture (% of total employment) (modeled ILO estimate),World Data Bank
SL.EMP.1524.SP.FE.NE.ZS,1163,,"Employment to population ratio, ages 15-24, female (%) (national estimate)",World Data Bank
SL.EMP.1524.SP.MA.NE.ZS,1164,,"Employment to population ratio, ages 15-24, male (%) (national estimate)",World Data Bank
SL.EMP.1524.SP.NE.ZS,1165,,"Employment to population ratio, ages 15-24, total (%) (national estimate)",World Data Bank
SL.EMP.TOTL.SP.FE.NE.ZS,1166,,"Employment to population ratio, 15+, female (%) (national estimate)",World Data Bank
SL.EMP.TOTL.SP.MA.NE.ZS,1167,,"Employment to population ratio, 15+, male (%) (national estimate)",World Data Bank
SL.EMP.TOTL.SP.NE.ZS,1168,,"Employment to population ratio, 15+, total (%) (national estimate)",World Data Bank
SL.GDP.PCAP.EM.KD,1169,,GDP per person employed (constant 2017 PPP $),World Data Bank
SL.IND.EMPL.FE.ZS,1170,,"Employment in industry, female (% of female employment) (modeled ILO estimate)",World Data Bank
SL.IND.EMPL.MA.ZS,1171,,"Employment in industry, male (% of male employment) (modeled ILO estimate)",World Data Bank
SL.IND.EMPL.ZS,1172,,Employment in industry (% of total employment) (modeled ILO estimate),World Data Bank
SL.SRV.EMPL.FE.ZS,1173,,"Employment in services, female (% of female employment) (modeled ILO estimate)",World Data Bank
SL.SRV.EMPL.MA.ZS,1174,,"Employment in services, male (% of male employment) (modeled ILO estimate)",World Data Bank
SL.SRV.EMPL.ZS,1175,,Employment in services (% of total employment) (modeled ILO estimate),World Data Bank
SL.TLF.ACTI.1524.FE.NE.ZS,1176,,"Labor force participation rate for ages 15-24, female (%) (national estimate)",World Data Bank
SL.TLF.ACTI.1524.FE.ZS,1177,,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",World Data Bank
SL.TLF.ACTI.1524.MA.NE.ZS,1178,,"Labor force participation rate for ages 15-24, male (%) (national estimate)",World Data Bank
SL.TLF.ACTI.1524.MA.ZS,1179,,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",World Data Bank
SL.TLF.ACTI.1524.NE.ZS,1180,,"Labor force participation rate for ages 15-24, total (%) (national estimate)",World Data Bank
SL.TLF.ACTI.1524.ZS,1181,,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",World Data Bank
SL.TLF.ACTI.FE.ZS,1182,,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",World Data Bank
SL.TLF.ACTI.MA.ZS,1183,,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",World Data Bank
SL.TLF.ACTI.ZS,1184,,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",World Data Bank
SL.TLF.ADVN.FE.ZS,1185,,"Labor force with advanced education, female (% of female working-age population with advanced education)",World Data Bank
SL.TLF.ADVN.MA.ZS,1186,,"Labor force with advanced education, male (% of male working-age population with advanced education)",World Data Bank
SL.TLF.ADVN.ZS,1187,,Labor force with advanced education (% of total working-age population with advanced education),World Data Bank
SL.TLF.BASC.FE.ZS,1188,,"Labor force with basic education, female (% of female working-age population with basic education)",World Data Bank
SL.TLF.BASC.MA.ZS,1189,,"Labor force with basic education, male (% of male working-age population with basic education)",World Data Bank
SL.TLF.BASC.ZS,1190,,Labor force with basic education (% of total working-age population with basic education),World Data Bank
SL.TLF.CACT.FE.NE.ZS,1191,,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",World Data Bank
SL.TLF.CACT.FE.ZS,1192,,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",World Data Bank
SL.TLF.CACT.FM.NE.ZS,1193,,Ratio of female to male labor force participation rate (%) (national estimate),World Data Bank
SL.TLF.CACT.FM.ZS,1194,,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),World Data Bank
SL.TLF.CACT.MA.NE.ZS,1195,,"Labor force participation rate, male (% of male population ages 15+) (national estimate)",World Data Bank
SL.TLF.CACT.MA.ZS,1196,,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",World Data Bank
SL.TLF.CACT.NE.ZS,1197,,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",World Data Bank
SL.TLF.CACT.ZS,1198,,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",World Data Bank
SL.TLF.INTM.FE.ZS,1199,,"Labor force with intermediate education, female (% of female working-age population with intermediate education)",World Data Bank
SL.TLF.INTM.MA.ZS,1200,,"Labor force with intermediate education, male (% of male working-age population with intermediate education)",World Data Bank
SL.TLF.INTM.ZS,1201,,Labor force with intermediate education (% of total working-age population with intermediate education),World Data Bank
SL.TLF.PART.FE.ZS,1202,,"Part time employment, female (% of total female employment)",World Data Bank
SL.TLF.PART.MA.ZS,1203,,"Part time employment, male (% of total male employment)",World Data Bank
SL.TLF.PART.ZS,1204,,"Part time employment, total (% of total employment)",World Data Bank
SL.TLF.TOTL.FE.ZS,1205,,"Labor force, female (% of total labor force)",World Data Bank
SL.TLF.TOTL.IN,1206,,"Labor force, total",World Data Bank
SL.UEM.1524.FE.NE.ZS,1207,,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",World Data Bank
SL.UEM.1524.FE.ZS,1208,,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",World Data Bank
SL.UEM.1524.MA.NE.ZS,1209,,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",World Data Bank
SL.UEM.1524.MA.ZS,1210,,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",World Data Bank
SL.UEM.1524.NE.ZS,1211,,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",World Data Bank
SL.UEM.1524.ZS,1212,,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",World Data Bank
SL.UEM.ADVN.FE.ZS,1213,,"Unemployment with advanced education, female (% of female labor force with advanced education)",World Data Bank
SL.UEM.ADVN.MA.ZS,1214,,"Unemployment with advanced education, male (% of male labor force with advanced education)",World Data Bank
SL.UEM.ADVN.ZS,1215,,Unemployment with advanced education (% of total labor force with advanced education),World Data Bank
SL.UEM.BASC.FE.ZS,1216,,"Unemployment with basic education, female (% of female labor force with basic education)",World Data Bank
SL.UEM.BASC.MA.ZS,1217,,"Unemployment with basic education, male (% of male labor force with basic education)",World Data Bank
SL.UEM.BASC.ZS,1218,,Unemployment with basic education (% of total labor force with basic education),World Data Bank
SL.UEM.INTM.FE.ZS,1219,,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",World Data Bank
SL.UEM.INTM.MA.ZS,1220,,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",World Data Bank
SL.UEM.INTM.ZS,1221,,Unemployment with intermediate education (% of total labor force with intermediate education),World Data Bank
SL.UEM.NEET.FE.ZS,1222,,"Share of youth not in education, employment or training, female (% of female youth population)",World Data Bank
SL.UEM.NEET.MA.ZS,1223,,"Share of youth not in education, employment or training, male (% of male youth population)",World Data Bank
SL.UEM.NEET.ZS,1224,,"Share of youth not in education, employment or training, total (% of youth population)",World Data Bank
SL.UEM.TOTL.FE.NE.ZS,1225,,"Unemployment, female (% of female labor force) (national estimate)",World Data Bank
SL.UEM.TOTL.FE.ZS,1226,,"Unemployment, female (% of female labor force) (modeled ILO estimate)",World Data Bank
SL.UEM.TOTL.MA.NE.ZS,1227,,"Unemployment, male (% of male labor force) (national estimate)",World Data Bank
SL.UEM.TOTL.MA.ZS,1228,,"Unemployment, male (% of male labor force) (modeled ILO estimate)",World Data Bank
SL.UEM.TOTL.NE.ZS,1229,,"Unemployment, total (% of total labor force) (national estimate)",World Data Bank
SL.UEM.TOTL.ZS,1230,,"Unemployment, total (% of total labor force) (modeled ILO estimate)",World Data Bank
SM.POP.REFG,1231,,Refugee population by country or territory of asylum,World Data Bank
SM.POP.REFG.OR,1232,,Refugee population by country or territory of origin,World Data Bank
SP.ADO.TFRT,1233,,"Adolescent fertility rate (births per 1,000 women ages 15-19)",World Data Bank
SP.POP.0004.FE.5Y,1234,,"Population ages 00-04, female (% of female population)",World Data Bank
SP.POP.0004.MA.5Y,1235,,"Population ages 00-04, male (% of male population)",World Data Bank
SP.POP.0014.FE.IN,1236,,"Population ages 0-14, female",World Data Bank
SP.POP.0014.FE.ZS,1237,,"Population ages 0-14, female (% of female population)",World Data Bank
SP.POP.0014.MA.IN,1238,,"Population ages 0-14, male",World Data Bank
SP.POP.0014.MA.ZS,1239,,"Population ages 0-14, male (% of male population)",World Data Bank
SP.POP.0014.TO,1240,,"Population ages 0-14, total",World Data Bank
SP.POP.0014.TO.ZS,1241,,Population ages 0-14 (% of total population),World Data Bank
SP.POP.0509.FE.5Y,1242,,"Population ages 05-09, female (% of female population)",World Data Bank
SP.POP.0509.MA.5Y,1243,,"Population ages 05-09, male (% of male population)",World Data Bank
SP.POP.1014.FE.5Y,1244,,"Population ages 10-14, female (% of female population)",World Data Bank
SP.POP.1014.MA.5Y,1245,,"Population ages 10-14, male (% of male population)",World Data Bank
SP.POP.1519.FE.5Y,1246,,"Population ages 15-19, female (% of female population)",World Data Bank
SP.POP.1519.MA.5Y,1247,,"Population ages 15-19, male (% of male population)",World Data Bank
SP.POP.1564.FE.IN,1248,,"Population ages 15-64, female",World Data Bank
SP.POP.1564.FE.ZS,1249,,"Population ages 15-64, female (% of female population)",World Data Bank
SP.POP.1564.MA.IN,1250,,"Population ages 15-64, male",World Data Bank
SP.POP.1564.MA.ZS,1251,,"Population ages 15-64, male (% of male population)",World Data Bank
SP.POP.1564.TO,1252,,"Population ages 15-64, total",World Data Bank
SP.POP.1564.TO.ZS,1253,,Population ages 15-64 (% of total population),World Data Bank
SP.POP.2024.FE.5Y,1254,,"Population ages 20-24, female (% of female population)",World Data Bank
SP.POP.2024.MA.5Y,1255,,"Population ages 20-24, male (% of male population)",World Data Bank
SP.POP.2529.FE.5Y,1256,,"Population ages 25-29, female (% of female population)",World Data Bank
SP.POP.2529.MA.5Y,1257,,"Population ages 25-29, male (% of male population)",World Data Bank
SP.POP.3034.FE.5Y,1258,,"Population ages 30-34, female (% of female population)",World Data Bank
SP.POP.3034.MA.5Y,1259,,"Population ages 30-34, male (% of male population)",World Data Bank
SP.POP.3539.FE.5Y,1260,,"Population ages 35-39, female (% of female population)",World Data Bank
SP.POP.3539.MA.5Y,1261,,"Population ages 35-39, male (% of male population)",World Data Bank
SP.POP.4044.FE.5Y,1262,,"Population ages 40-44, female (% of female population)",World Data Bank
SP.POP.4044.MA.5Y,1263,,"Population ages 40-44, male (% of male population)",World Data Bank
SP.POP.4549.FE.5Y,1264,,"Population ages 45-49, female (% of female population)",World Data Bank
SP.POP.4549.MA.5Y,1265,,"Population ages 45-49, male (% of male population)",World Data Bank
SP.POP.5054.FE.5Y,1266,,"Population ages 50-54, female (% of female population)",World Data Bank
SP.POP.5054.MA.5Y,1267,,"Population ages 50-54, male (% of male population)",World Data Bank
SP.POP.5559.FE.5Y,1268,,"Population ages 55-59, female (% of female population)",World Data Bank
SP.POP.5559.MA.5Y,1269,,"Population ages 55-59, male (% of male population)",World Data Bank
SP.POP.6064.FE.5Y,1270,,"Population ages 60-64, female (% of female population)",World Data Bank
SP.POP.6064.MA.5Y,1271,,"Population ages 60-64, male (% of male population)",World Data Bank
SP.POP.6569.FE.5Y,1272,,"Population ages 65-69, female (% of female population)",World Data Bank
SP.POP.6569.MA.5Y,1273,,"Population ages 65-69, male (% of male population)",World Data Bank
SP.POP.65UP.FE.IN,1274,,"Population ages 65 and above, female",World Data Bank
SP.POP.65UP.FE.ZS,1275,,"Population ages 65 and above, female (% of female population)",World Data Bank
SP.POP.65UP.MA.IN,1276,,"Population ages 65 and above, male",World Data Bank
SP.POP.65UP.MA.ZS,1277,,"Population ages 65 and above, male (% of male population)",World Data Bank
SP.POP.65UP.TO,1278,,"Population ages 65 and above, total",World Data Bank
SP.POP.65UP.TO.ZS,1279,,Population ages 65 and above (% of total population),World Data Bank
SP.POP.7074.FE.5Y,1280,,"Population ages 70-74, female (% of female population)",World Data Bank
SP.POP.7074.MA.5Y,1281,,"Population ages 70-74, male (% of male population)",World Data Bank
SP.POP.7579.FE.5Y,1282,,"Population ages 75-79, female (% of female population)",World Data Bank
SP.POP.7579.MA.5Y,1283,,"Population ages 75-79, male (% of male population)",World Data Bank
SP.POP.80UP.FE.5Y,1284,,"Population ages 80 and above, female (% of female population)",World Data Bank
SP.POP.80UP.MA.5Y,1285,,"Population ages 80 and above, male (% of male population)",World Data Bank
SP.POP.BRTH.MF,1286,,Sex ratio at birth (male births per female births),World Data Bank
SP.POP.DPND,1287,,Age dependency ratio (% of working-age population),World Data Bank
SP.POP.DPND.OL,1288,,"Age dependency ratio, old (% of working-age population)",World Data Bank
SP.POP.DPND.YG,1289,,"Age dependency ratio, young (% of working-age population)",World Data Bank
SP.POP.GROW,1290,,Population growth (annual %),World Data Bank
SP.POP.SCIE.RD.P6,1291,,Researchers in R&D (per million people),World Data Bank
SP.POP.TOTL,1292,,"Population, total",World Data Bank
SP.POP.TOTL.FE.IN,1293,,"Population, female",World Data Bank
SP.POP.TOTL.FE.ZS,1294,,"Population, female (% of total population)",World Data Bank
SP.POP.TOTL.MA.IN,1295,,"Population, male",World Data Bank
SP.POP.TOTL.MA.ZS,1296,,"Population, male (% of total population)",World Data Bank
SP.RUR.TOTL,1297,,Rural population,World Data Bank
SP.RUR.TOTL.ZG,1298,,Rural population growth (annual %),World Data Bank
SP.RUR.TOTL.ZS,1299,,Rural population (% of total population),World Data Bank
SP.URB.GROW,1300,,Urban population growth (annual %),World Data Bank
SP.URB.TOTL,1301,,Urban population,World Data Bank
SP.URB.TOTL.IN.ZS,1302,,Urban population (% of total population),World Data Bank
ST.INT.ARVL,1303,,"International tourism, number of arrivals",World Data Bank
ST.INT.DPRT,1304,,"International tourism, number of departures",World Data Bank
ST.INT.RCPT.CD,1305,,"International tourism, receipts (current US$)",World Data Bank
ST.INT.RCPT.XP.ZS,1306,,"International tourism, receipts (% of total exports)",World Data Bank
ST.INT.TRNR.CD,1307,,"International tourism, receipts for passenger transport items (current US$)",World Data Bank
ST.INT.TRNX.CD,1308,,"International tourism, expenditures for passenger transport items (current US$)",World Data Bank
ST.INT.TVLR.CD,1309,,"International tourism, receipts for travel items (current US$)",World Data Bank
ST.INT.TVLX.CD,1310,,"International tourism, expenditures for travel items (current US$)",World Data Bank
ST.INT.XPND.CD,1311,,"International tourism, expenditures (current US$)",World Data Bank
ST.INT.XPND.MP.ZS,1312,,"International tourism, expenditures (% of total imports)",World Data Bank
SWB.NAB,1313,,"Subjective Well-being, Negative affect balance",OECD How's Life
TG.VAL.TOTL.GD.ZS,1314,,Merchandise trade (% of GDP),World Data Bank
TM.QTY.MRCH.XD.WD,1315,,Import volume index (2000 = 100),World Data Bank
TM.TAX.MANF.BC.ZS,1316,,"Binding coverage, manufactured products (%)",World Data Bank
TM.TAX.MANF.BR.ZS,1317,,"Bound rate, simple mean, manufactured products (%)",World Data Bank
TM.TAX.MANF.IP.ZS,1318,,"Share of tariff lines with international peaks, manufactured products (%)",World Data Bank
TM.TAX.MANF.SM.AR.ZS,1319,,"Tariff rate, applied, simple mean, manufactured products (%)",World Data Bank
TM.TAX.MANF.SM.FN.ZS,1320,,"Tariff rate, most favored nation, simple mean, manufactured products (%)",World Data Bank
TM.TAX.MANF.SR.ZS,1321,,"Share of tariff lines with specific rates, manufactured products (%)",World Data Bank
TM.TAX.MANF.WM.AR.ZS,1322,,"Tariff rate, applied, weighted mean, manufactured products (%)",World Data Bank
TM.TAX.MANF.WM.FN.ZS,1323,,"Tariff rate, most favored nation, weighted mean, manufactured products (%)",World Data Bank
TM.TAX.MRCH.BC.ZS,1324,,"Binding coverage, all products (%)",World Data Bank
TM.TAX.MRCH.BR.ZS,1325,,"Bound rate, simple mean, all products (%)",World Data Bank
TM.TAX.MRCH.IP.ZS,1326,,"Share of tariff lines with international peaks, all products (%)",World Data Bank
TM.TAX.MRCH.SM.AR.ZS,1327,,"Tariff rate, applied, simple mean, all products (%)",World Data Bank
TM.TAX.MRCH.SM.FN.ZS,1328,,"Tariff rate, most favored nation, simple mean, all products (%)",World Data Bank
TM.TAX.MRCH.SR.ZS,1329,,"Share of tariff lines with specific rates, all products (%)",World Data Bank
TM.TAX.MRCH.WM.AR.ZS,1330,,"Tariff rate, applied, weighted mean, all products (%)",World Data Bank
TM.TAX.MRCH.WM.FN.ZS,1331,,"Tariff rate, most favored nation, weighted mean, all products (%)",World Data Bank
TM.TAX.TCOM.BC.ZS,1332,,"Binding coverage, primary products (%)",World Data Bank
TM.TAX.TCOM.BR.ZS,1333,,"Bound rate, simple mean, primary products (%)",World Data Bank
TM.TAX.TCOM.IP.ZS,1334,,"Share of tariff lines with international peaks, primary products (%)",World Data Bank
TM.TAX.TCOM.SM.AR.ZS,1335,,"Tariff rate, applied, simple mean, primary products (%)",World Data Bank
TM.TAX.TCOM.SM.FN.ZS,1336,,"Tariff rate, most favored nation, simple mean, primary products (%)",World Data Bank
TM.TAX.TCOM.SR.ZS,1337,,"Share of tariff lines with specific rates, primary products (%)",World Data Bank
TM.TAX.TCOM.WM.AR.ZS,1338,,"Tariff rate, applied, weighted mean, primary products (%)",World Data Bank
TM.TAX.TCOM.WM.FN.ZS,1339,,"Tariff rate, most favored nation, weighted mean, primary products (%)",World Data Bank
TM.UVI.MRCH.XD.WD,1340,,Import unit value index (2000 = 100),World Data Bank
TM.VAL.AGRI.ZS.UN,1341,,Agricultural raw materials imports (% of merchandise imports),World Data Bank
TM.VAL.FOOD.ZS.UN,1342,,Food imports (% of merchandise imports),World Data Bank
TM.VAL.FUEL.ZS.UN,1343,,Fuel imports (% of merchandise imports),World Data Bank
TM.VAL.ICTG.ZS.UN,1344,,ICT goods imports (% total goods imports),World Data Bank
TM.VAL.INSF.ZS.WT,1345,,Insurance and financial services (% of commercial service imports),World Data Bank
TM.VAL.MANF.ZS.UN,1346,,Manufactures imports (% of merchandise imports),World Data Bank
TM.VAL.MMTL.ZS.UN,1347,,Ores and metals imports (% of merchandise imports),World Data Bank
TM.VAL.MRCH.AL.ZS,1348,,Merchandise imports from economies in the Arab World (% of total merchandise imports),World Data Bank
TM.VAL.MRCH.CD.WT,1349,,Merchandise imports (current US$),World Data Bank
TM.VAL.MRCH.HI.ZS,1350,,Merchandise imports from high-income economies (% of total merchandise imports),World Data Bank
TM.VAL.MRCH.OR.ZS,1351,,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),World Data Bank
TM.VAL.MRCH.R1.ZS,1352,,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),World Data Bank
TM.VAL.MRCH.R2.ZS,1353,,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),World Data Bank
TM.VAL.MRCH.R3.ZS,1354,,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),World Data Bank
TM.VAL.MRCH.R4.ZS,1355,,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),World Data Bank
TM.VAL.MRCH.R5.ZS,1356,,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),World Data Bank
TM.VAL.MRCH.R6.ZS,1357,,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),World Data Bank
TM.VAL.MRCH.RS.ZS,1358,,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",World Data Bank
TM.VAL.MRCH.WL.CD,1359,,Merchandise imports by the reporting economy (current US$),World Data Bank
TM.VAL.MRCH.XD.WD,1360,,Import value index (2000 = 100),World Data Bank
TM.VAL.OTHR.ZS.WT,1361,,"Computer, communications and other services (% of commercial service imports)",World Data Bank
TM.VAL.SERV.CD.WT,1362,,Commercial service imports (current US$),World Data Bank
TM.VAL.TRAN.ZS.WT,1363,,Transport services (% of commercial service imports),World Data Bank
TM.VAL.TRVL.ZS.WT,1364,,Travel services (% of commercial service imports),World Data Bank
TT.PRI.MRCH.XD.WD,1365,,Net barter terms of trade index (2000 = 100),World Data Bank
TX.MNF.TECH.ZS.UN,1366,,Medium and high-tech exports (% manufactured exports),World Data Bank
TX.QTY.MRCH.XD.WD,1367,,Export volume index (2000 = 100),World Data Bank
TX.UVI.MRCH.XD.WD,1368,,Export unit value index (2000 = 100),World Data Bank
TX.VAL.AGRI.ZS.UN,1369,,Agricultural raw materials exports (% of merchandise exports),World Data Bank
TX.VAL.FOOD.ZS.UN,1370,,Food exports (% of merchandise exports),World Data Bank
TX.VAL.FUEL.ZS.UN,1371,,Fuel exports (% of merchandise exports),World Data Bank
TX.VAL.ICTG.ZS.UN,1372,,ICT goods exports (% of total goods exports),World Data Bank
TX.VAL.INSF.ZS.WT,1373,,Insurance and financial services (% of commercial service exports),World Data Bank
TX.VAL.MANF.ZS.UN,1374,,Manufactures exports (% of merchandise exports),World Data Bank
TX.VAL.MMTL.ZS.UN,1375,,Ores and metals exports (% of merchandise exports),World Data Bank
TX.VAL.MRCH.AL.ZS,1376,,Merchandise exports to economies in the Arab World (% of total merchandise exports),World Data Bank
TX.VAL.MRCH.CD.WT,1377,,Merchandise exports (current US$),World Data Bank
TX.VAL.MRCH.HI.ZS,1378,,Merchandise exports to high-income economies (% of total merchandise exports),World Data Bank
TX.VAL.MRCH.OR.ZS,1379,,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),World Data Bank
TX.VAL.MRCH.R1.ZS,1380,,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),World Data Bank
TX.VAL.MRCH.R2.ZS,1381,,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),World Data Bank
TX.VAL.MRCH.R3.ZS,1382,,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),World Data Bank
TX.VAL.MRCH.R4.ZS,1383,,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),World Data Bank
TX.VAL.MRCH.R5.ZS,1384,,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),World Data Bank
TX.VAL.MRCH.R6.ZS,1385,,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),World Data Bank
TX.VAL.MRCH.RS.ZS,1386,,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",World Data Bank
TX.VAL.MRCH.WL.CD,1387,,Merchandise exports by the reporting economy (current US$),World Data Bank
TX.VAL.MRCH.XD.WD,1388,,Export value index (2000 = 100),World Data Bank
TX.VAL.OTHR.ZS.WT,1389,,"Computer, communications and other services (% of commercial service exports)",World Data Bank
TX.VAL.SERV.CD.WT,1390,,Commercial service exports (current US$),World Data Bank
TX.VAL.TRAN.ZS.WT,1391,,Transport services (% of commercial service exports),World Data Bank
TX.VAL.TRVL.ZS.WT,1392,,Travel services (% of commercial service exports),World Data Bank
WJQ.YNI,1393,,"Work and Job Quality, Youth not in employment, education or training",OECD How's Life
